range_nm,e_batt_whkg,mtow_kg,fuel_burn_kg,mtow_sigma_kg,fuel_sigma_kg,mtow_at_bound,fuel_check,source
300,250,5700.0,218.1,31.8,0.0,1,strict,figure-pixel
350,250,3849.7,222.1,100.2,0.0,0,strict,figure-pixel
400,250,3943.7,271.2,109.6,8.7,0,strict,figure-pixel
450,250,4012.5,305.1,122.1,9.8,0,strict,figure-pixel
500,250,4042.8,342.0,0.0,0.0,0,strict,paper-table-4
550,250,4112.7,398.3,131.5,11.9,0,strict,figure-pixel
600,250,4206.6,434.5,140.9,13.0,0,strict,figure-pixel
650,250,4331.8,498.9,147.1,14.1,0,strict,figure-pixel
700,250,4369.4,537.3,150.3,15.2,0,strict,figure-pixel
750,250,4469.6,575.7,162.8,16.3,0,strict,figure-pixel
800,250,4569.7,581.5,162.8,0.0,0,strict,figure-pixel
300,300,5700.0,109.0,31.8,0.0,1,strict,figure-pixel
350,300,5700.0,189.9,31.8,23.3,1,strict,figure-pixel
400,300,3881.0,271.2,106.4,8.7,0,strict,figure-pixel
450,300,4000.0,305.1,119.0,9.8,0,strict,figure-pixel
500,300,4068.9,362.1,128.3,10.8,0,strict,figure-pixel
550,300,4112.7,398.3,131.5,11.9,0,strict,figure-pixel
600,300,4194.1,434.5,137.7,13.0,0,strict,figure-pixel
650,300,4263.0,470.7,144.0,14.1,0,strict,figure-pixel
700,300,4356.9,537.3,150.3,15.2,0,strict,figure-pixel
750,300,4457.0,575.7,162.8,16.3,0,strict,figure-pixel
800,300,4550.9,616.2,159.6,0.0,0,strict,figure-pixel
300,350,5700.0,81.4,31.8,13.4,1,strict,figure-pixel
350,350,5700.0,157.6,31.8,23.3,1,strict,figure-pixel
400,350,5700.0,217.0,31.8,26.6,1,strict,figure-pixel
450,350,5133.2,284.4,75.1,9.8,0,strict,figure-pixel
500,350,4062.6,339.0,131.5,10.8,0,strict,figure-pixel
550,350,4144.0,398.3,137.7,11.9,0,strict,figure-pixel
600,350,4181.6,434.5,134.6,13.0,0,strict,figure-pixel
650,350,4263.0,470.7,144.0,14.1,0,strict,figure-pixel
700,350,4338.1,537.3,150.3,15.2,0,strict,figure-pixel
750,350,4457.0,575.7,156.5,16.3,0,strict,figure-pixel
800,350,4538.4,581.5,162.8,0.0,0,strict,figure-pixel
300,400,5700.0,53.7,31.8,20.3,1,strict,figure-pixel
350,400,5700.0,111.1,31.8,23.7,1,strict,figure-pixel
400,400,5700.0,180.1,31.8,26.6,1,strict,figure-pixel
450,400,5700.0,244.1,31.8,29.9,1,strict,figure-pixel
500,400,5700.0,316.0,31.8,10.8,1,strict,figure-pixel
550,400,4369.4,398.3,150.3,11.9,0,strict,figure-pixel
600,400,4212.9,434.5,137.7,13.0,0,strict,figure-pixel
650,400,4244.2,470.7,140.9,14.1,0,strict,figure-pixel
700,400,4331.8,537.3,147.1,15.2,0,strict,figure-pixel
750,400,4438.3,575.7,162.8,16.3,0,strict,figure-pixel
800,400,4538.4,581.5,165.9,0.0,0,strict,figure-pixel
300,450,5621.5,39.9,56.3,6.5,0,skip,figure-pixel
350,450,5700.0,78.8,31.8,23.3,1,strict,figure-pixel
400,450,5700.0,144.3,31.8,27.1,1,strict,figure-pixel
450,450,5700.0,223.4,31.8,29.9,1,strict,figure-pixel
500,450,5700.0,272.6,31.8,22.4,1,strict,figure-pixel
550,450,5700.0,347.6,31.8,11.9,1,strict,figure-pixel
600,450,4864.0,406.8,150.3,13.0,0,strict,figure-pixel
650,450,4244.2,470.7,144.0,14.1,0,strict,figure-pixel
700,450,4331.8,506.9,147.1,15.2,0,strict,figure-pixel
750,450,4432.0,575.7,156.5,16.3,0,strict,figure-pixel
800,450,4519.6,581.5,159.6,0.0,0,strict,figure-pixel
300,500,5152.0,13.0,68.9,6.1,0,skip,figure-pixel
350,500,5700.0,30.4,31.8,7.1,1,skip,figure-pixel
